Item,Price
Iced Sugar Cookie Almondmilk Latte,$7.01
Cold Brew with Salted Cream Cold Foam,$5.24
Chocolate Cream Cold Brew,$5.95
Cold Brew with Cascara Cold Foam,$4.76
Nitro Cold Brew,$4.00
Irish Cream Cold Brew,$4.76
Pumpkin Cream Cold Brew,$5.51
Iced Caffè Americano,$3.89
Starbucks Iced Coffee Blend Clover Vertica,$4.62
Iced Starbucks® Blonde Caffè Americano,$3.31
Iced Latte Macchiato,$5.86
Iced Starbucks Blonde Cappuccino with Cold Foam,$5.94
Starbucks Iced Coffee Blend,$4.61
Iced Coffee,$3.56
Iced Cappuccino with Cold Foam,$5.92
Iced Honey Apple Almondmilk Flat White,$7.23
Iced Coffee with Milk,$3.92
Iced Shaken Espresso,$4.89
Starbucks Doubleshot® on Ice,$4.53
Pistachio Cream Cold Brew,$6.05
Iced Espresso,$2.69
Iced Cinnamon Cloud Macchiato,$5.98
Iced Apple Crisp Oatmilk Macchiato,$6.95
Starbucks® Blonde Doubleshot® On Ice,$4.05
Iced Almondmilk Honey Flat White,$6.57
Iced Flat Whites,$5.92
Iced Almondmilk Honey Flat White with Starbucks® Blonde Espresso,$5.77
Iced Flat White,$6.00
Iced Lavender Oatmilk Latte,$6.38
Iced Caffè Latte,$4.66
Iced Hazelnut Oatmilk Shaken Espresso​,$6.79
Iced Pistachio Latte,$7.09
Iced Cinnamon Dolce Latte,$5.49
Iced Toasted Vanilla Oatmilk Shaken Espresso,$6.37
Iced Skinny Cinnamon Dolce Latte,$5.75
Iced Starbucks® Blonde Caffè Latte,$5.57
Cold Brew with Nondairy Vanilla Sweet Cream Cold Foam,$6.10
Iced Starbucks® Blonde Caramel Brulée Latte,$5.31
Iced Starbucks Blonde Vanilla Latte,$5.98
Nondairy Chocolate Cream Cold Brew,$6.09
Iced Pumpkin Spice Latte,$6.38
Iced Starbucks® Blonde Chestnut Praline Latte,$5.31
Iced Vanilla Bean Coconutmilk Latte,$6.21
Iced Caramel Brulée Latte,$6.51
Starbucks® Blonde Iced Pumpkin Spice Latte,$5.29
White Chocolate Macadamia Cream Cold Brew,$6.00
Lavender Oatmilk Chill,$5.18
Iced Caramel Macchiato,$5.26
Iced Starbucks® Blonde Vanilla Bean Coconutmilk Latte,$6.22
Iced Chestnut Praline Latte,$6.18
Iced Apple Crisp Oatmilk Shaken Espresso,$6.80
Iced White Chocolate Mocha,$5.51
Iced Cinnamon Almondmilk Macchiato,$6.22
Iced Coconutmilk Latte with Starbucks® Blonde Espresso,$5.29
Iced Starbucks® Blonde Eggnog Latte,$5.31
Iced Chocolate Almondmilk Shaken Espresso,$6.23
Iced Caramel Apple Cream Latte,$7.23
Iced Skinny Mocha,$5.31
Iced Coconutmilk Mocha Macchiato,$6.22
Iced Starbucks® Blonde Smoked Butterscotch Latte,$5.29
Iced Eggnog Latte,$5.14
Iced Caffè Mocha,$5.07
Iced Coconutmilk Latte,$5.29
Iced Gingerbread Latte,$7.00
Nondairy Vanilla Sweet Cream Cold Brew,$5.77
Iced Espresso Macchiato,$2.57
Iced Salted Caramel Mocha,$5.22
Iced Smoked Butterscotch Latte,$5.29
Nondairy Salted Caramel Cream Cold Brew,$6.10
Iced Peppermint Mocha,$6.60
Starbucks® Blonde Iced Salted Caramel Mocha,$5.32
Iced Peppermint White Chocolate Mocha,$6.60
Iced Starbucks Blonde Cinnamon Cloud Macchiato,$6.04
Iced Starbucks® Blonde Caramel Cloud Macchiato,$6.22
Iced Cordusio,$6.00
Iced Starbucks® Blonde Peppermint Mocha,$5.30
Iced Toasted White Chocolate Mocha,$5.34
Iced Starbucks® Blonde Peppermint White Chocolate Mocha,$5.30
Iced Starbucks® Blonde Toasted White Chocolate Mocha,$5.31
Strawberry Acai with Lemonade,$5.30
Pink Drink Starbucks Refreshers Beverage,$5.94
Strawberry Açaí Starbucks Refreshers Beverage,$5.17
Very Berry Hibiscus Refreshers™,$3.83
Strawberry Açaí Lemonade Starbucks Refreshers Beverage,$5.90
Dragon Drink Starbucks Refreshers Beverage,$5.93
Paradise Drink Starbucks Refreshers Beverage,$5.93
Mango Dragonfruit Lemonade Starbucks Refreshers Beverage,$5.74
Summer-Berry Lemonade Starbucks Refreshers Beverage,$7.25
Mango Dragonfruit Starbucks Refreshers Beverage,$5.04
Pineapple Passionfruit Starbucks Refreshers Beverage,$5.20
Spicy Dragonfruit,$6.38
Pineapple Passionfruit Lemonade Starbucks Refreshers Beverage,$5.93
Spicy Strawberry,$6.39
Spicy Pineapple,$6.38
Summer-Berry Starbucks Refreshers Beverage,$6.65
Summer Skies Drink Starbucks Refreshers Beverage,$7.25
Caffe Espresso Frappuccino,$6.02
Strawberries and Creme Frappuccino,$3.99
Double Chocolaty Chip Frappuccino,$4.73
Caramel Brulée Crème Frappuccino®,$5.59
Caramel Ribbon Crunch Frappuccino Blended Beverage,$6.83
Sugar Cookie Almondmilk Frappuccino Blended Beverage,$6.83
Peppermint Mocha Frappuccino®,$5.61
Java Chip Frappuccino Blended Beverage,$6.28
Chestnut Praline Crème Frappuccino®,$5.60
Coffee Frappuccino Blended Beverage,$5.93
Espresso Frappuccino®,$6.58
Mocha Cookie Crumble Frappuccino,$6.81
Caramel Frappuccino Blended Beverage,$6.28
Espresso Frappuccino Blended Beverage,$7.33
Caffè Vanilla Frappuccino®,$5.75
Caffè Vanilla Frappuccino Blended Beverage,$6.28
Mocha Frappuccino Blended Beverage,$6.28
White Chocolate Mocha Frappuccino®,$5.75
White Chocolate Mocha Frappuccino Blended Beverage,$6.29
Chocolate Cookie Crumble Crème Frappuccino,$5.94
Ultra Caramel Frappuccino®,$6.48
Pumpkin Spice Frappuccino®,$5.53
Pumpkin Spice Crème Frappuccino Blended Beverage,$6.83
Peppermint White Chocolate Mocha Frappuccino®,$5.65
Apple Crisp Oatmilk Frappuccino Blended Beverage,$6.83
Lavender Crème Frappuccino Blended Beverage,$6.88
Matcha Green Tea Crème Frappuccino®,$5.35
Toasted White Chocolate Mocha Frappuccino®,$5.66
Caramel Ribbon Crunch Crème Frappuccino Blended Beverage,$6.83
Caramel Brulée Frappuccino Blended Beverage,$6.78
White Chocolate Crème Frappuccino®,$5.77
Sugar Cookie Almondmilk Crème Frappuccino Blended Beverage,$6.83
Strawberry Frappuccino® Blended Beverage Crème,$6.34
Double Chocolaty Chip Crème Frappuccino Blended Beverage,$6.28
Chai Creme Frappuccino,$6.27
Matcha Green Tea Crème Frappuccino® Blended Beverage,$5.11
Pumpkin Spice Crème Frappuccino®,$5.52
Matcha Crème Frappuccino Blended Beverage,$6.42
White Chocolate Crème Frappuccino Blended Beverage,$6.29
Pistachio Frappuccino Blended Beverage,$6.85
