Item,Price
Espresso Frappuccino,$95.16
Chocolate Cream Frappuccino,$95.75
Cajeta Cream Frappuccino,$98.73
Cookies and Cream Frappuccino,$93.22
Green Tea Cream Frappuccino,$85.47
Chai Cream Frappuccino,$100.17
Matcha Green Tea Cream Frappuccino,$106.16
Frambuesa Grosella Frappucino,$73.10
Mango Maracuyá Frappuccino®,$71.21
Piñacoco Yogurt Frappuccino,$108.02
Serious Strawberry Frappuccino®,$91.88
Dragon Drink + Toronja En Gajos,$129.64
Espresso Americano + Yogurt Natural Con Fresa,$109.79
Café Del Día + Fruta Mixta,$96.79
Cold Brew + Sándwich De Pavo,$151.97
Mango Dragon Fruit Refresher + Sándwich De Pavo,$157.85
Mint Tea Helado + Envuelto Poblano,$124.85
Espresso Americano Helado + Envuelto De Atún,$134.24
Fresa & Kiwi,$42.03
Piña & Mango,$42.03
Un Lunch Conveniente,$208.56
Desayuno En Casa,$180.50
La Combinación Perfecta Todo El Día,$169.29
Bundle Celebración,$188.59
Panqué de Calabaza,$55.73
"""NUEVO"" Coffee Traveler",$211.71
Caramel Macchiato Helado,$91.25
Mocha Helado,$91.57
Mocha Blanco Helado,$91.37
Espresso Americano Helado,$63.04
Café del día: Chiapas,$58.30
Cajeta Latte,$108.47
Caramel Macchiato,$91.34
Vainilla Latte,$91.21
Latte,$79.19
Latte Macchiato,$91.06
Vainilla Sugar Free Latte,$92.06
Mocha,$91.65
Caramel Light Latte,$101.53
Espresso Americano,$63.14
Mocha Blanco,$91.81
Flat White,$91.13
Caramel Latte,$99.00
Iced Shaken Espresso con Avellana,$86.52
Iced Shaken Espresso Con Mocha,$89.00
English Breakfast,$62.20
Chocolate Blanco Helado,$82.05
Chai Tea Latte,$45.80
Chai Latte Helado,$83.65
Hibiscus,$62.18
Mint,$62.21
Youthberry,$62.11
Chamomile,$62.26
Chocolate Mexicano Helado,$82.38
Green Tea Latte,$66.83
Chai Latte,$79.23
Matcha Green Tea Latte Helado,$82.66
Shaken White Tea,$73.10
Youthberry Helado,$65.82
Chocolate,$67.80
English Breakfast Helado,$65.76
Chocolate Helado,$78.79
Chocolate Blanco,$78.51
Hibiscus Helado,$65.78
Chocolate 100% Mexicano,$78.80
Emperors Clouds and Mist Helado,$66.40
Mint Helado,$65.83
Chai Tea,$56.00
Chai Tea Helado,$57.02
Chamomile Helado,$65.74
Helado Shaken Lemon Tea Hibiscus,$81.97
Helado Shaken Lemon Tea Green,$82.12
Helado Shaken Lemon Tea Black,$81.70
Vainilla Sweet Cream Cold Brew,$92.68
Chai,$65.43
Emperors Clouds and Mist,$62.57
Chocolate Caliente,$82.18
Matcha Green Tea Latte,$82.41
Cold Brew,$80.25
Vainilla Cream Cold Brew,$73.66
Vanilla Sweet Cream Cold Brew,$79.92
Mango Dragonfruit,$82.42
Mango Dragonfruit  Con Limonada,$93.42
Strawberry Acai Frozen Refreshers,$102.75
Kiwi Starfruit Refresher,$81.78
Mango Dragon Fruit Frozen Refreshers,$103.14
Strawberry Acaí Refresher Con Limonada,$98.80
Kiwi Starfruit Refresher con limonada,$92.54
Star Drink,$92.26
Mango Dragonfruit Refresher Con Limonada,$98.92
Dragon Drink,$101.85
Pink Drink,$101.25
Strawberry Acaí Con Limonada,$95.53
Strawberry Acai Refresher,$85.48
¡Buenos días!,$140.74
Envuelto Poblano,$83.25
Breakfast Muffin,$61.76
Grilled Cheese Sandwich,$82.89
Guacamole,$20.78
Mermelada de Chabacano,$13.83
Mermelada de Fresa,$14.49
Queso Crema,$15.00
Chipotle,$13.72
Refresher® Mango Dragonfruit,$87.26
Refresher® Dragon Drink,$79.23
Refresher® Pink Drink,$79.23
Helado Berry Matcha Latte Con Bebida De,$107.62
Helado Matcha Green Tea Lemonade,$108.02
Bagel Con Pechuga Y Queso 174 G,$96.16
Croissant Con Pechuga Y Queso 149 G,$103.39
Baguette Suprema 245 G.,$125.57
Breakfast Muffin 130 G,$69.48
Sándwich De Pavo Y Panela 228 G,$112.51
Baguette Clásica 241 G,$113.28
Baguette Española 194 G,$113.14
Matcha Green Tea Lemonade,$101.00
Shaken Green Tea,$86.52
Helado Chai,$68.83
Shaken Black Tea,$86.44
Shaken Hibiscus Tea,$86.52
Pan de Elote,$55.17
Panqué Limón,$59.46
Muffin Plátano con Nuez,$46.78
Rollo de Canela,$44.50
Muffin Blueberry,$46.78
Mini Cronuts,$38.95
Muffin Chocochips,$46.78
Panque de Linaza,$58.72
Dona Doble Chocolate,$47.09
Panqué de Limón,$50.51
Panqué Marmoleado,$56.92
Bagel Tradicional,$58.42
Muffin de Blueberry,$58.73
Dona de Chocolate,$38.63
Muffin de ChocoChip,$58.58
Dona Cookies & Cream,$38.57
Panqué de Naranja,$50.51
Rol de Canela,$52.29
Hojaldre de Moras,$50.65
Tarta De Moras Con Chocolate Blanco 130,$102.92
Cheesecake Roulet 80 G,$65.93
Croissant De Mantequilla 90 G,$64.29
Panqué De Linaza 146 G,$67.80
Pastel De Chocolate 220 G,$103.10
Cheesecake Brulee De Frambuesa 175 G,$102.59
Muffin De Blueberry 140 G,$68.82
Mini Croissant Mantequilla 30 G,$24.14
Muffin De Chocochip 145 G,$68.65
Dona Doble Chocolate 90 G,$61.02
Panqué Limón 148 G,$68.20
Bagel Tradicional 151 G,$68.43
Pastel De Zanahoria 165 G,$102.78
Cronut Chocolate 95 G,$65.92
Strudel De Manzana 100 G,$65.21
Biscuit De Arandanos Con Queso 85 G,$72.22
Cake Pops Vainilla,$42.31
Biscuit Dulce De Leche 85 G,$70.00
Fritter De Manzana 79 G,$68.55
Cake Pops Chocolate,$42.17
Mini Pan De Chocolate,$23.60
Dona Old Fashioned Vainilla 94 G,$61.62
Pan De Chocolate 85 G,$66.61
Tarta de Moras y Chocolate Blanco,$75.44
Pastel de Zanahoria,$86.01
Classic Chocolate Cake,$75.07
Tarta de Moras con chocolate blanco,$90.02
Cheesecake Brulee de Frambuesa,$86.45
Pastel de Chocolate,$89.97
Glass Cake Salted Caramel,$71.05
Bagel De Pechuga Y Queso,$91.25
Sandwich De Proteína,$124.46
Baguette Vegana Notburger,$125.40
Croissant Español,$95.80
Baguette Vegana Notchicken,$125.40
House Blend,$169.48
Colombia,$169.48
Kenya,$202.70
Sumatra,$247.48
Verona,$202.70
Chiapas,$169.48
Espresso Roast,$169.48
Tarta De Nuez,$96.76
Bagel con Crema de Avellana,$66.08
Biscuit de canela con crema,$67.08
Biscuit de arandanos con queso,$67.33
Envuelto de Atún,$84.52
Baguette Española,$102.91
Panini Español Chorizo y Queso,$85.73
Baguette Clásica,$102.98
Panini Clásico,$85.73
Panini de 3 Quesos,$98.02
Piadini de Claras,$71.21
Sándwich Pavo y Panela,$95.88
Bagel Jamón y Queso,$78.05
Panini 3 Quesos,$85.73
Envuelto de Champiñones,$81.10
Ensalada Cesar 230 G,$148.50
Toronja Natural En Gajos 310 G,$66.17
Chiapas 250 G,$232.95
Té En Caja Chai 36 G,$227.11
Colombia Narino 250 G,$233.14
Kenya 250 G,$271.98
Pike Place 250 G,$272.09
Pike Place 250 grs.,$243.32
Verona 250 G,$271.95
Sumatra 250 grs.,$284.53
Colombia Narino 250 grs.,$207.36
Chiapas 250 grs.,$206.35
Sumatra 250 G,$310.05
Espresso Roast 250 G,$233.14
Tribute Blend,$285.68
Té En Caja Hibiscus 38.4 G,$227.02
Té En Caja Emperors Candm 31.2 G,$227.30
Kati Kati Blend,$288.30
Té En Caja Youthberry 42 G,$298.60
Coffee Traveler,$278.51
Mini Cronuts para compartir,$122.97
Media Docena De Donas 540 G,$276.50
Media docena de donas,$206.97
Media Docena de Mini Tartas,$135.43
Mini Cronuts Para Compartir 176 G,$155.61
Media docena de cronuts de chocolate.,$261.35
Pan de Queso para Compartir,$83.98
Media Docena De Cronuts De Chocolate 570,$297.46
Docena de minicronuts,$352.60
Media docena de croissants jamón y queso,$428.50
Pan De Queso Para Compartir 400 G,$92.45
Panadería Recién Horneada,$258.68
Docena De Minicronuts 528 G,$443.59
