Item,Price
Steamed Apple Juice,$2.68
Caramel Apple Spice,$4.24
Steamed Milk,$2.79
Pumpkin Spice Crème,$5.05
Vanilla Steamer,$2.77
Caramel Brûlé Crème,$4.62
Smoked Butterscotch Crème,$4.73
Coffee Frappuccino® Blended Beverage,$6.04
Espresso Frappuccino®,$6.02
Espresso Frappuccino® Blended Beverage,$6.98
Java Chip Frappuccino® Blended Beverage,$6.26
Mocha Frappuccino® Blended Beverage,$6.17
Caffè Vanilla Frappuccino®,$5.39
Caffè Vanilla Frappuccino® Blended Beverage,$6.17
Caramel Ribbon Crunch Frappuccino Blended Beverage,$7.59
Strawberry Crème Frappuccino Blended Beverage,$7.26
Matcha Crème Frappuccino Blended Beverage,$7.31
Peppermint Mocha Frappuccino Blended Beverage,$7.60
Caramel Ribbon Crunch Crème Frappuccino Blended Beverage,$7.59
Mocha Cookie Crumble Frappuccino Blended Beverage,$7.59
White Chocolate Mocha Frappuccino Blended Beverage,$7.26
Pistachio Frappuccino Blended Beverage,$7.59
Caramel Brûlé Frappuccino Blended Beverage,$7.60
Peppermint White Chocolate Mocha Frappuccino Blended Beverage,$7.60
Sugar Cookie Oat Frappuccino Blended Beverage,$7.59
Pistachio Crème Frappuccino Blended Beverage,$7.59
Caramel Brûlé Crème Frappuccino Blended Beverage,$7.60
Peppermint Mocha Crème Frappuccino Blended Beverage,$7.60
Peppermint White Chocolate Crème Frappuccino Blended Beverage,$7.59
Sugar Cookie Oat Crème Frappuccino Blended Beverage,$7.59
White Chocolate Crème Frappuccino Blended Beverage,$7.26
Chestnut Praline Frappuccino Blended Beverage,$7.62
Chestnut Praline Crème Frappuccino Blended Beverage,$7.62
Caramel Frappuccino® Blended Beverage,$6.17
Pumpkin Spice Frappuccino®,$5.75
Salted Caramel Mocha Frappuccino®,$5.47
Caramel Brûlé Frappuccino®,$5.75
Chai Crème Frappuccino®,$5.39
Gingerbread Frappuccino®,$5.75
Peppermint Mocha Frappuccino®,$5.75
Matcha Green Tea Crème Frappuccino®,$5.39
Peppermint White Chocolate Mocha Frappuccino®,$5.75
Pumpkin Spice Crème Frappuccino®,$5.75
Vanilla Bean Crème Frappuccino® Blended Crème,$6.04
Chai Crème Frappuccino® Blended Beverage,$6.28
Double Chocolaty Chip Crème Frappuccino® Blended Beverage,$6.26
Matcha Green Tea Crème Frappuccino® Blended Beverage,$5.45
Caramel Brûlé Crème Frappuccino®,$5.75
Gingerbread Crème Frappuccino®,$5.75
Coffee Frappuccino,$4.38
Java Chip Frappuccino,$4.73
Mocha Frappuccino,$4.73
Strawberry Frappuccino,$4.59
Caramel Frappuccino,$4.73
Vanilla Bean Creme Frappuccino,$4.32
Double Chocolaty Chip Creme Frappuccino,$4.73
Salted Caramel Mocha Creme Frappuccino,$6.50
Iced Gingerbread Oat Chai,$7.11
Iced Matcha Tea Latte,$6.81
Iced Strawberry Oat Matcha Latte,$6.94
Well Lemon + Ginger + Honey Elixir,$4.75
Well Refreshed Cold Pressed Juice,$7.99
Maison Perrier Forever Ginger Lime Sparkling Water,$4.50
Maison Perrier Forever Lemon Sparkling Water,$4.52
Flow Strawberry and Rose Water,$4.38
Flow Original Water,$3.70
Ham and Swiss on Baguette,$9.45
Three Cheese and Egg Sandwich,$5.82
Belgian Liège Waffle,$4.24
4 Maple Mini Pancakes,$3.34
8 Maple Mini Pancakes,$4.87
Blueberry Greek Yogurt,$2.74
Greek Yogurt with Mixed Berries,$5.75
Vanilla Skyr with Apple & Pineapple,$6.65
Vegan Yogurt Alternative with Blueberries,$6.25
Caffè Verona® Verismo® Pods,$15.95
Espresso Roast Verismo® Pods,$15.95
Decaf Espresso Roast Verismo® Pods,$15.95
Soft-Touch Stainless-Steel Water Bottle with Twist-to-Sip Lid – 591 mL,$55.25
