Country,Exchange Rate
Czech-republic,
Chile,0.0011
México,
Hungary,0.0027
South-africa,
Poland,0.26
Australia,0.63
United-states,
Brasil,
Finland,1.08
Colombia,0.000242
Canada,0.70
United-kingdom,
