Item,Price
Croissant de Frango,R$11.61
Toast de Peito de Peru e Muçarela,R$19.14
Toast de Presunto e Muçarela,R$19.08
Brasil Blend,R$35.14
Colombia,R$34.73
Espresso Roast,R$34.98
Ethiopia,R$37.91
Pike Place,R$34.50
Sumatra,R$37.73
Verona,R$34.43
Copo Reutilizável Rosa,R$48.00
Caneca com Logo lisa branca 355ml,R$47.73
Caneca com logo lisa preta 355ml,R$47.79
Caneca do Brasil com 414ml,R$78.95
Caneca do Rio de Janeiro 414ml,R$79.06
Caneca de São Paulo 414ml,R$79.29
