Item,Price
Iced Matcha Green Tea Latte (Grande),R61.00
Iced Matcha Green Tea Latte (Venti),R68.00
Iced Chai Tea Latte (Tall),R54.00
Iced Chai Tea Latte (Grande),R61.00
Iced Chai Tea Latte (Venti),R68.00
Matcha Green Tea Latte (Tall),R54.00
Matcha Green Tea Latte (Grande),R61.00
Matcha Green Tea Latte (Venti),R68.00
Chai Tea Latte (Tall),R54.00
Chai Tea Latte (Grande),R61.00
Chai Tea Latte (Venti),R68.00
English Breakfast (Tall),R34.00
English Breakfast (Grande),R39.00
English Breakfast (Venti),R52.00
Youthberry (Tall),R34.00
Youthberry (Grande),R39.00
Youthberry (Venti),R52.00
Rooibos (Tall),R34.00
Rooibos (Grande),R39.00
Rooibos (Venti),R52.00
Emperor's Clouds and Mist (Tall),R34.00
Emperor's Clouds and Mist (Grande),R39.00
Emperor's Clouds and Mist (Venti),R52.00
Mint Blend (Tall),R34.00
Mint Blend (Grande),R39.00
Mint Blend (Venti),R52.00
Classic Hot Chocolate (Tall),R52.00
Classic Hot Chocolate (Grande),R58.00
Classic Hot Chocolate (Venti),R63.00
White Hot Chocolate (Tall),R53.00
White Hot Chocolate (Grande),R59.00
White Hot Chocolate (Venti),R68.00
Cappuccino (Tall) (Hot Espresso Beverages),R48.00
Cappuccino (Grande) (Hot Espresso Beverages),R54.00
Cappuccino (Venti) (Hot Espresso Beverages),R65.00
Latte (Tall) (Hot Espresso Beverages),R48.00
Latte (Grande) (Hot Espresso Beverages),R54.00
Latte (Venti) (Hot Espresso Beverages),R65.00
Caramel Macchiato (Tall) (Hot Espresso Beverages),R54.00
Caramel Macchiato (Grande) (Hot Espresso Beverages),R61.00
Caramel Macchiato (Venti) (Hot Espresso Beverages),R71.00
Americano (Tall),R40.00
Americano (Grande),R44.00
Americano (Venti),R50.00
White Mocha (Tall),R56.00
White Mocha (Grande),R62.00
White Mocha (Venti),R67.00
Mocha (Tall),R54.00
Mocha (Grande),R61.00
Mocha (Venti),R65.00
Chocolate Croissant,R42.00
Vanilla Cake Pop,R31.00
NY Style Cheesecake,R68.00
Butter Croissant,R36.00
Chocolate Cake,R71.00
Chocolate Brownie,R35.00
Decadent Chocolate Muffin,R52.00
Vanilla Choc Chip Cookie,R33.00
Savoury Cheese Twist,R31.00
Cinnamon Swirl,R34.00
Triple Choc Chip Cookie,R33.00
Cinno Sticky Bun,R52.00
Apple Crown,R31.00
Carrot Cake,R71.00
MilkTart Muffin,R52.00
Chocolate Cake Pop,R31.00
Blueberry Muffin,R52.00
Breakfast English Muffin (Ready-to-Eat),R71.00
Macon Cheese Sourdough Toastie,R91.00
Cream Cheese Bagel,R64.00
Chicken Avo Ciabatta,R98.00
Salmon Trout Cream Cheese Bagel,R116.00
Three Cheese Sourdough Toastie,R85.00
Beef Ciabatta,R104.00
Chicken Mayo Sourdough Toastie,R64.00
Chicken Mayo Low GI Toastie,R64.00
Macon Cheese Croissant,R91.00
Macon Cheese Low GI Toastie,R91.00
Granola Pot Siren,R64.00
Three Cheese Low GI Toastie,R85.00
