Item,Price
Starbucks® Signature Hot Chocolate,£3.84
Classic Hot Chocolate,£3.61
Freshly Brewed Coffee,£2.16
Cold Brew,£3.41
Cold Brew Latte,£3.64
Caffè Misto,£2.67
Teavana™ - Earl Grey Tea,£2.76
Teavana™ - Youthberry Tea,£2.76
Teavana™ - Mint Citrus Tea,£2.76
Teavana™ - Emperor's Clouds & Mist Tea,£2.76
Teavana™ - English Breakfast Tea,£2.76
Teavana™ - Chamomile Herbal Blend,£2.76
Teavana™ - Hibiscus Herbal Blend,£2.76
Teavana™ - Jasmine Pearls Tea,£2.76
Teavana™ - Chai Tea,£2.76
Teavana™ - Mint Herbal Blend,£3.05
Vanilla Matcha Tea Latte,£4.43
Chai Tea Latte,£3.88
Matcha Green Tea Latte,£3.88
Iced Shaken Hibiscus Infusion,£3.19
Iced Shaken Hibiscus Infusion & Lemonade,£3.41
Iced Shaken Black Tea & Lemonade,£3.41
Peach Citrus Green Tea - Shaken Iced Tea,£3.73
Blackberry Mojito Green Tea - Shaken Iced Tea,£3.73
Iced Shaken Black Tea,£3.19
Iced Shaken Green Tea,£3.19
Blood Orange - Frozen Iced Tea,£4.08
Iced Shaken Green Tea & Lemonade,£3.41
Tropical Mango - Frozen Iced Tea,£4.08
Iced Chai Tea Latte,£3.88
Iced Matcha Green Tea Latte,£3.88
Iced Vanilla Matcha Tea Latte,£4.43
Java Chip Frappuccino,£4.28
Caramel Frappuccino,£4.28
Mocha Frappuccino,£4.28
Espresso Frappuccino,£3.98
Coffee Frappuccino,£3.68
White Chocolate Mocha Frappuccino,£4.28
Cookies & Cream Frappuccino®,£4.28
Vanilla Cream Frappuccino,£4.28
White Chocolate Cream Frappuccino,£4.28
Caramel Cream Frappuccino,£4.28
Strawberries & Cream Frappuccino,£4.28
Chocolate Cream Frappuccino,£4.28
Double Chocolatey Chip Frappuccino,£4.28
Mocha Light Frappuccino,£4.28
Java Chip Light Frappuccino,£4.28
White Chocolate Mocha Light Frappuccino,£4.28
Espresso Light Frappuccino,£3.98
Coffee Light Frappuccino,£4.26
Caramel Light Frappuccino,£4.28
Mango Passion Fruit Frappuccino,£4.08
Coco Vita Water - 330 ML,£2.70
Juicy Water Raspberries & Apples,£2.68
Juicy Water Lemon & Lime,£2.65
Innocent Bubbles Orange & Lime,£2.65
Innocent Bubbles Lemon & Lime,£2.66
"Cold Pressed - Strawberry, Raspberry & Beetroot 250 ML",£3.95
"Winter Smoothie - Apple, Blackcurrant & Spices 250ML",£2.85
"Cold Pressed - Mango, Carrot, Passion Fruit & Turmeric 250 ML",£3.95
"Cold Pressed - Kiwi, Cucumber & Spinach 250 ML",£3.95
"Protein Smoothie - Dairy free Coconut, Oat, Banana 250 ML",£3.95
Juice - Smooth Orange 250 ML,£2.50
Juice - Smooth Orange 500 ML,£3.70
"Summer Juice - Pineapple, Watermelon & Lime 250 ML",£2.85
"Juice - Orange, Pineapple, Mango & Passionfruit 250 ML",£2.85
Juice - Cloudy Apple 250 ML,£2.50
Triple Chocolate Muffin,£2.50
Blueberry Muffin,£2.59
Raspberry Cheesecake Muffin,£2.45
Pain aux Raisins,£2.55
Granola Bar,£2.20
Oat & Raisin Cookie,£2.36
Chocolate Crispy Pop,£1.60
Raspberry Crispy Pop,£1.60
Vegan Pistachio Bar,£2.77
Choc Chunk Cookie,£2.36
Rocky Road,£2.46
Caramel Nut Slice,£2.43
Date and Seed Bar,£2.79
Triple Chocolate Cookie,£2.44
Salted Caramel Cookie,£2.60
Mermaids Tail Cookie,£2.63
Chocolate Brownie,£2.49
Double Chocolate and Caramel Cups,£2.20
Carrot Loaf Cake,£2.79
Chocolate & Raspberry Vegan Cake,£2.75
Chocolate Truffle Loaf Cake,£2.79
Mini Vegan Chocolate & Raspberry Cake,£2.79
Pumpkin Loaf Cake,£2.75
Sausage Sandwich,£4.00
Ultimate All Day Breakfast Sandwich,£4.15
Five Grain Oatmeal Porridge,£3.10
Chocolate and Coconut Overnight Oats,£3.41
Cheese and Marmite™ Panini,£3.75
Tomato & Mozzarella Panini,£5.79
Ham & Cheese Panini,£5.21
BBQ Chicken & Bacon Toastie,£5.10
Mushroom and Ricotta Toastie,£5.10
Chicken and Pesto Toastie,£5.10
Mini Chilli Cheese Toasties,£3.90
