Item,Price
Croissant Cereales Jamón Pavo Y Queso,"$14,350.00"
Croissant Mantequilla Jamón Y Queso,"$13,500.00"
Croissant Jamón Pavo Y Queso,"$14,500.00"
Panini Trenza Jamón and Queso,"$17,500.00"
Croissant Cereal Jamón Serrano and Queso,"$14,900.00"
Croissant Jamón Serrano  andqueso,"$14,900.00"
Croissant Mantequilla Jamón  Pavoyqueso,"$14,200.00"
Manantial Sin Gas  500 ml,"$4,900.00"
Jugo de mandarina,"$8,812.50"
Jugo De Naranja En Vaso Plástico,"$9,900.00"
Jugo De Mandarina En Vaso Plástico,"$9,900.00"
Aloe Vera-Bergam,"$5,720.00"
Agua Saborizada San Peregrino Aranciata,"$13,900.00"
Jugo de naranja,"$8,650.00"
San Pellegrino 500 ml,"$12,100.00"
Agua Saborizada San Peregrino Rossa,"$13,900.00"
Agua San Pellegrino,"$14,683.33"
Limonada de coco,"$7,225.00"
Agua Manantial Sin Gas 500ml,"$6,500.00"
Agua Manantial Con Gas 300ml,"$6,200.00"
Aloe Vera-Bergamota,"$6,887.50"
Agua Manantial Sin Gas 300ml,"$6,500.00"
Limonada De Coco 350ml,"$7,900.00"
Agua San Pellegrino 500ml,"$15,300.00"
Agua San Pellegrino Aranciata 330ml,"$13,900.00"
Agua San Pellegrino Rossa 330ml,"$13,900.00"
San Pellerino Melograno and Arancia 330ml,"$13,900.00"
Colombia Medio 250gr,"$30,800.00"
Espresso roast,"$19,362.50"
Colombia Nariño 250gr,"$30,800.00"
Colombia medio,"$19,362.50"
Kenya 250gr,"$38,500.00"
Colombia Nariño,"$19,428.57"
Verona 250gr,"$39,100.00"
Kenya,"$23,525.00"
Mug Colombia,"$68,809.09"
Vaso Reutilizable Negro 16oz,"$24,900.00"
Vaso Reutilizable Blanco 16oz,"$19,900.00"
Vaso Frio Transparente Sirena 24oz,"$59,900.00"
Tumbler sustain 16oz,"$94,900.00"
Caja De Té Chai,"$32,900.00"
Caja De Té Hibiscus,"$32,900.00"
Espresso Roast 250gr,"$30,900.00"
Sumatra 250gr,"$39,900.00"
Caffé Verona 250gr,"$39,900.00"
