Item,Price
Dulce de Leche Frappuccino,"$5,456.10"
Java Chips Frappuccino,"$5,453.85"
Matcha Green Tea Frappuccino,"$5,689.47"
Té,"$2,500.00"
Limonada té negro piña,"$2,825.00"
Iced Shaken Tea,"$3,100.00"
Iced Shaken Lemon Tea,"$3,100.00"
Súper Minerals,"$3,300.00"
Energy Healthy,"$3,869.23"
Vitamin C Power,"$3,300.00"
Jugo de Frambuesa,"$2,500.00"
Jugo de Naranja,"$2,500.00"
Iced Green Lemon Tea,"$5,496.15"
Iced Green Tea,"$5,168.00"
Limonada té verde frutilla,"$3,960.00"
Iced Matcha,"$4,900.00"
Matcha Green Tea Lemonade,"$4,300.00"
Frutilla Acái,"$4,711.11"
Té Earl Grey,"$4,487.50"
Té Emperors Cloud and Mist,"$4,426.92"
Té Mint Citrus,"$4,446.43"
Té Chai Latte,"$4,558.54"
Té Chai,"$4,455.56"
Matcha Green Tea Latte,"$4,900.00"
Té English Breakfast,"$4,437.04"
Té Youthberry,"$4,446.15"
Mug Black Matte 12 oz,"$6,900.00"
Mug White Matte 12 oz,"$6,900.00"
Cold Cup Plastic Logo 16 oz,"$6,900.00"
Tumbler Acero Inoxidable 12 oz,"$17,500.00"
Tumbler Acero Inoxidable 16 oz,"$17,500.00"
Mug Chile 16 oz,"$5,900.00"
Barra de Chocolate Sin Gluten,"$3,566.67"
Mix Frutos Secos Clásico,"$2,357.45"
Alfajor,"$1,914.55"
Antojo Vegano,"$2,010.71"
Chips De Manzana,"$1,794.74"
Papas Chip Mix,"$1,884.85"
Chicles,"$1,900.00"
Caramel Waffle,"$2,150.00"
Papas Chip Clásicas,"$1,921.21"
Barra Wild Protein,"$1,364.00"
Barra Nature Valley Peanut,$500.00
Chicle,"$2,550.00"
Cuchufli,"$1,680.00"
Avena en hojuelas,"$3,144.44"
Cochayuyo,"$3,666.67"
Almendras,"$2,180.00"
Mentas,"$1,900.00"
Shortbread,"$1,500.00"
Almendras con chocolate,"$1,900.00"
Almendras Créme Brulee,"$1,700.00"
Caramelo de Café,"$1,990.00"
Barra Snack Bar,"$1,400.00"
Agua Mineral con Gas,"$2,080.39"
Green Hopper Green Beats,"$4,686.67"
Agua Mineral sin Gas,"$2,065.31"
Orange Pop Green Beats,"$4,687.80"
Jugo Powerbeats,"$5,200.00"
